0,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
1,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
2,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
3,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
4,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
5,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
6,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
7,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
8,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
9,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
10,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
11,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
12,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
13,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
14,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
15,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
16,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
17,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
18,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
19,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
20,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
21,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
22,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
23,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
24,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
25,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
26,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
27,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
28,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
29,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
30,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
31,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
32,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
33,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
34,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
35,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
36,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
37,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
38,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
39,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
40,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
41,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
42,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
43,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
44,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
45,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
46,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
47,"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]"
